Ratio_TA,Ratio_LP,Biomass_TA,Biomass_LP,Gardener
0,1,NA,8.67,1
0,1,NA,7.51,2
0,1,NA,5.82,3
0,1,NA,6.65,4
0,1,NA,6.66,5
0,6,NA,5.89,1
0,6,NA,15.72,2
0,6,NA,6.31,3
0,6,NA,11.99,4
0,6,NA,8.45,5
0,12,NA,5.1,1
0,12,NA,7.58,2
0,12,NA,7.49,3
0,12,NA,11.62,4
0,12,NA,7.7,5
0,18,NA,4.44,1
0,18,NA,4.3,2
0,18,NA,10.29,3
0,18,NA,9.41,4
0,18,NA,4.57,5
0,24,NA,7.67,1
0,24,NA,10.75,2
0,24,NA,6.53,3
0,24,NA,7,4
0,24,NA,7.25,5
0,30,NA,6.45,1
0,30,NA,3.16,2
0,30,NA,4.31,3
0,30,NA,7.17,4
0,30,NA,9.25,5
0,36,NA,4.94,1
0,36,NA,4.25,2
0,36,NA,8.26,3
0,36,NA,10.17,4
0,36,NA,3.65,5
0,42,NA,4.63,1
0,42,NA,6.47,2
0,42,NA,8.2,3
0,42,NA,4.69,4
0,42,NA,5.52,5
0,48,NA,5.02,1
0,48,NA,3.07,2
0,48,NA,6.53,3
0,48,NA,3.93,4
0,48,NA,1.77,5
0,54,NA,7.53,1
0,54,NA,1.84,2
0,54,NA,5.57,3
0,54,NA,5.8,4
0,54,NA,7.45,5
0,60,NA,3.24,1
0,60,NA,9.44,2
0,60,NA,6.38,3
0,60,NA,7.31,4
0,60,NA,6.51,5
1,0,129,NA,1
1,0,134,NA,2
1,0,130,NA,3
1,0,128,NA,4
1,0,121,NA,5
1,1,106,10.8,1
1,1,118,6.5,2
1,1,117,5.5,3
1,1,122,6.31,4
1,1,93,1.03,5
1,6,122,6.2,1
1,6,87,10.64,2
1,6,114,10.99,3
1,6,127,9.1,4
1,6,78,12.64,5
1,12,110,7.05,1
1,12,57,6.49,2
1,12,133,5.84,3
1,12,147,6.15,4
1,12,108,3.24,5
1,18,109,6.28,1
1,18,135,5.84,2
1,18,126,4.61,3
1,18,96,7.17,4
1,18,135,6.5,5
1,24,139,8.27,1
1,24,134,9.28,2
1,24,116,8.47,3
1,24,131,9.83,4
1,24,130,4.55,5
1,30,NA,4.5,1
1,30,134,8.59,2
1,30,72,5.97,3
1,30,104,6.81,4
1,30,131,5.91,5
1,36,15,7.86,1
1,36,108,2.59,2
1,36,95,4.84,3
1,36,22,5.93,4
1,36,112,4.5,5
1,42,103,6.22,1
1,42,97,10.13,2
1,42,137,8.3,3
1,42,125,8.36,4
1,42,106,2.41,5
1,48,131,5.06,1
1,48,101,4.72,2
1,48,113,11.64,3
1,48,132,5.15,4
1,48,135,8.82,5
1,54,122,8.42,1
1,54,79,6.95,2
1,54,116,8,3
1,54,101,10.16,4
1,54,74,4.65,5
1,60,95,3.44,1
1,60,136,7.06,2
1,60,NA,11.63,3
